제목,태그,이용 연령,작가,요일,평균 평점,선호작 수
파운더,#범죄#액션,15,"만두인,임상",월요웹툰,9.921,44434
이게 웬 떡,#로맨스,0,박쓰,목요웹툰,9.964,80978
인과관계,#삼각관계#청춘로맨스#로맨스#학원로맨스#힐링,12,강환,수요웹툰,9.964,256130
연우의 순정,#다정남#감성#걸크러시,15,이,화요웹툰,9.972,220324
짐승의 꽃,#소설원작#고자극로맨스#로맨스#2030연애#로판,15,"옆집찰스,하브린,황도",화요웹툰,9.941,67114
나 혼자 네크로맨서,#소설원작#먼치킨#아포칼립스#판타지#이능력배틀물,12,"김경열,지점장,김동",목요웹툰,9.954,198898
킬링킬러,#액션,15,아,일요웹툰,9.786,54465
달의 요람,#드라마,12,이정,목요웹툰,6.218,57773
낙향문사전,#먼치킨#무협/사극#레드아이스 스튜디오#소설원작,12,"원작,고기산적,금요웹툰,바킹",금요웹툰,9.947,182159
메소드 연기법,#계략여주#스릴러,15,김이,금요웹툰,9.951,33808
최강부캐,#먼치킨#액션#게임판타지,15,직,토요웹툰,9.876,91503
